"Title","ID","Owner","Created Date","Updated Date","Name","Class 4","Class 3","Email","Hometown","Class 1","Interest 1","Interest 2","Interest 3","Class 2","Phone","Major","Hometype"
,"ebed7bf8-2de1-46ed-a63b-63190780f078",,2019-07-02T16:00:17Z,2019-07-02T16:00:17Z,"Stephen","ECON 1110","Span 2090","stephen@cornell.edu","Montana","CS 1110","eating","pokemon","sports","Math 1120","12345677890","Computer Science","Urban"
,"7d992cee-37e4-4bfa-936d-814f7e08b234",,2019-07-02T15:59:04Z,2019-07-02T15:59:04Z,"Dennis","HD 1150","PLSCI 1120","d@cornell.edu","Maine","FDSC 1101","writing","tennis","biking","FDSC 1500","123","Plant Sciences","Rural"
,"f1e494fc-4e12-46fc-96e5-4b89163a40a5",,2019-07-02T15:57:41Z,2019-07-02T15:57:41Z,"Will","Econ 1101","Psych 1101","will@cornell.edu","Maine","BIOG 1440","plants","walking","trees","BIOEE 1610","1234567890","Environmental and Sustainability Sciences","Rural"
,"0ac14180-2507-480f-b4c1-3a10ddd2c88b",,2019-07-02T15:57:24Z,2019-07-02T15:57:24Z,"Dave","HD 1150","DSOC 1101","d@cornell.edu","Maine","FDSC 1101","food","kung fu","biking","FDSC 1500","123","Food Science","Rural"
,"23eeb50e-0ee6-474a-85ec-df4caa2865f7",,2019-07-02T15:56:12Z,2019-07-02T15:56:12Z,"Dan","PLBIO 2400","PLSCI 1120","d@cornell.edu","Maine","FDSC 1101","food","tennis","hiking","FDSC 1500","123","Food Science","Suburban"
,"e53df5cd-20ff-47c6-be2e-0005ec794db3",,2019-07-02T15:54:24Z,2019-07-02T15:54:24Z,"Olivia","NTRES 1101","PLSCI 1120","o@cornell.edu","Louisiana","PLSCI 1101","plants","nature","hiking","PLSCI 1300","123","Plant Sciences","Suburban"
,"8fc0ab32-66a2-499a-b030-17f904c9bb9a",,2019-07-02T15:53:03Z,2019-07-02T15:53:03Z,"Chris","Phil 1101","Psych 1101","chris@cornell.edu","Georgia","ECON 1110","drama","dancing","writing","ENGL 1100","1234567890","English","Urban"
,"09c47ad5-ec68-4434-a553-32664c435500",,2019-07-02T15:52:16Z,2019-07-02T15:52:16Z,"Jacob","PLBIO 2400","DSOC 1101","j@cornell.edu","Massachusetts","MATH 1110","math ","acting","lacrosse","BIOEE 1180","123","Biometry and Statistics","Suburban"
,"cead1b26-7316-4fd0-9416-ffac7ceed1d7",,2019-07-02T15:48:16Z,2019-07-02T15:48:16Z,"Halle","Psych 1101","Span 2090","halle@cornell.edu","California","PMA 2800","acting","theatre","dancing","PMA 1145","1234567890","Performing and Media Arts","Urban"
,"5fc222ff-badc-4492-b5ad-9644d149ab58",,2019-07-02T15:43:04Z,2019-07-02T15:43:04Z,"Bella","INFO 1300","BIOEE 1540","b@cornell.edu","Connecticut","HD 1150","politics","drawing","painting","MATH 1110","123","Human Development","Suburban"
,"85143de9-664d-4b67-a45a-e82980f7729a",,2019-07-02T15:42:16Z,2019-07-02T15:42:16Z,"Esteban","Span 2090","Psych 1101","esteban@cornell.edu","Spain","Math 2210","languages","kung fu","tennis","Econ 1120","1234567890","Mathematics","Suburban"
,"c25b53ea-1bcc-4285-9b75-f4a45edde74c",,2019-07-02T15:40:45Z,2019-07-02T15:40:45Z,"Leah","PHIL 1100","ITAL 1201","l@cornell.edu","Washington","ENGL 1100","reading ","writing","makeup","PSYCH 1101","123","English","Urban"
